example_idx,stage,node_id,parent_node_id,branch_idx,sample_idx,reward
23125,3,d3_n11,d2_n4,1,14,1
23125,3,d3_n11,d2_n4,1,15,1
23125,3,d3_n11,d2_n4,1,16,1
23125,3,d3_n11,d2_n4,1,17,1
23125,3,d3_n11,d2_n4,1,18,1
23125,3,d3_n11,d2_n4,1,19,1
23125,3,d3_n11,d2_n4,1,20,1
23125,3,d3_n11,d2_n4,1,21,1
23125,3,d3_n11,d2_n4,1,22,1
23125,3,d3_n11,d2_n4,1,23,1
23125,3,d3_n11,d2_n4,1,24,1
23125,3,d3_n11,d2_n4,1,25,1
23125,3,d3_n11,d2_n4,1,26,1
23125,3,d3_n11,d2_n4,1,27,1
23125,3,d3_n11,d2_n4,1,28,1
23125,3,d3_n11,d2_n4,1,29,1
23125,3,d3_n11,d2_n4,1,30,1
23125,3,d3_n11,d2_n4,1,31,1
23125,3,d3_n12,d2_n5,0,0,1
23125,3,d3_n12,d2_n5,0,1,1
23125,3,d3_n12,d2_n5,0,2,1
23125,3,d3_n12,d2_n5,0,3,1
23125,3,d3_n12,d2_n5,0,4,1
23125,3,d3_n12,d2_n5,0,5,1
23125,3,d3_n12,d2_n5,0,6,1
23125,3,d3_n12,d2_n5,0,7,1
23125,3,d3_n12,d2_n5,0,8,1
23125,3,d3_n12,d2_n5,0,9,1
23125,3,d3_n12,d2_n5,0,10,1
23125,3,d3_n12,d2_n5,0,11,1
23125,3,d3_n12,d2_n5,0,12,1
23125,3,d3_n12,d2_n5,0,13,1
23125,3,d3_n12,d2_n5,0,14,1
23125,3,d3_n12,d2_n5,0,15,1
23125,3,d3_n12,d2_n5,0,16,1
23125,3,d3_n12,d2_n5,0,17,1
23125,3,d3_n12,d2_n5,0,18,1
23125,3,d3_n12,d2_n5,0,19,1
23125,3,d3_n12,d2_n5,0,20,1
23125,3,d3_n12,d2_n5,0,21,1
23125,3,d3_n12,d2_n5,0,22,1
23125,3,d3_n12,d2_n5,0,23,1
23125,3,d3_n12,d2_n5,0,24,1
23125,3,d3_n12,d2_n5,0,25,1
23125,3,d3_n12,d2_n5,0,26,1
23125,3,d3_n12,d2_n5,0,27,1
23125,3,d3_n12,d2_n5,0,28,1
23125,3,d3_n12,d2_n5,0,29,1
23125,3,d3_n12,d2_n5,0,30,1
23125,3,d3_n12,d2_n5,0,31,1
23125,3,d3_n13,d2_n5,1,0,1
23125,3,d3_n13,d2_n5,1,1,1
23125,3,d3_n13,d2_n5,1,2,1
23125,3,d3_n13,d2_n5,1,3,1
23125,3,d3_n13,d2_n5,1,4,1
23125,3,d3_n13,d2_n5,1,5,1
23125,3,d3_n13,d2_n5,1,6,1
23125,3,d3_n13,d2_n5,1,7,1
23125,3,d3_n13,d2_n5,1,8,1
23125,3,d3_n13,d2_n5,1,9,1
23125,3,d3_n13,d2_n5,1,10,1
23125,3,d3_n13,d2_n5,1,11,1
23125,3,d3_n13,d2_n5,1,12,1
23125,3,d3_n13,d2_n5,1,13,1
23125,3,d3_n13,d2_n5,1,14,1
23125,3,d3_n13,d2_n5,1,15,1
23125,3,d3_n13,d2_n5,1,16,1
23125,3,d3_n13,d2_n5,1,17,1
23125,3,d3_n13,d2_n5,1,18,1
23125,3,d3_n13,d2_n5,1,19,1
23125,3,d3_n13,d2_n5,1,20,1
23125,3,d3_n13,d2_n5,1,21,1
23125,3,d3_n13,d2_n5,1,22,1
23125,3,d3_n13,d2_n5,1,23,1
23125,3,d3_n13,d2_n5,1,24,1
23125,3,d3_n13,d2_n5,1,25,1
23125,3,d3_n13,d2_n5,1,26,1
23125,3,d3_n13,d2_n5,1,27,1
23125,3,d3_n13,d2_n5,1,28,1
23125,3,d3_n13,d2_n5,1,29,1
23125,3,d3_n13,d2_n5,1,30,1
23125,3,d3_n13,d2_n5,1,31,1
23125,4,d4_n14,d3_n6,0,0,1
23125,4,d4_n14,d3_n6,0,1,1
23125,4,d4_n14,d3_n6,0,2,1
23125,4,d4_n14,d3_n6,0,3,1
23125,4,d4_n14,d3_n6,0,4,1
23125,4,d4_n14,d3_n6,0,5,1
23125,4,d4_n14,d3_n6,0,6,1
23125,4,d4_n14,d3_n6,0,7,1
23125,4,d4_n14,d3_n6,0,8,1
23125,4,d4_n14,d3_n6,0,9,1
23125,4,d4_n14,d3_n6,0,10,1
23125,4,d4_n14,d3_n6,0,11,1
23125,4,d4_n14,d3_n6,0,12,1
23125,4,d4_n14,d3_n6,0,13,1
23125,4,d4_n14,d3_n6,0,14,1
23125,4,d4_n14,d3_n6,0,15,1
23125,4,d4_n14,d3_n6,0,16,1
23125,4,d4_n14,d3_n6,0,17,1
23125,4,d4_n14,d3_n6,0,18,1
23125,4,d4_n14,d3_n6,0,19,1
23125,4,d4_n14,d3_n6,0,20,1
23125,4,d4_n14,d3_n6,0,21,1
23125,4,d4_n14,d3_n6,0,22,1
23125,4,d4_n14,d3_n6,0,23,1
23125,4,d4_n14,d3_n6,0,24,1
23125,4,d4_n14,d3_n6,0,25,1
23125,4,d4_n14,d3_n6,0,26,1
23125,4,d4_n14,d3_n6,0,27,1
23125,4,d4_n14,d3_n6,0,28,1
23125,4,d4_n14,d3_n6,0,29,1
23125,4,d4_n14,d3_n6,0,30,1
23125,4,d4_n14,d3_n6,0,31,1
23125,4,d4_n15,d3_n6,1,0,1
23125,4,d4_n15,d3_n6,1,1,1
23125,4,d4_n15,d3_n6,1,2,1
23125,4,d4_n15,d3_n6,1,3,1
23125,4,d4_n15,d3_n6,1,4,1
23125,4,d4_n15,d3_n6,1,5,1
23125,4,d4_n15,d3_n6,1,6,1
23125,4,d4_n15,d3_n6,1,7,1
23125,4,d4_n15,d3_n6,1,8,1
23125,4,d4_n15,d3_n6,1,9,1
23125,4,d4_n15,d3_n6,1,10,1
23125,4,d4_n15,d3_n6,1,11,1
23125,4,d4_n15,d3_n6,1,12,1
23125,4,d4_n15,d3_n6,1,13,1
23125,4,d4_n15,d3_n6,1,14,1
23125,4,d4_n15,d3_n6,1,15,1
23125,4,d4_n15,d3_n6,1,16,1
23125,4,d4_n15,d3_n6,1,17,1
23125,4,d4_n15,d3_n6,1,18,1
23125,4,d4_n15,d3_n6,1,19,1
23125,4,d4_n15,d3_n6,1,20,1
23125,4,d4_n15,d3_n6,1,21,1
23125,4,d4_n15,d3_n6,1,22,1
23125,4,d4_n15,d3_n6,1,23,1
23125,4,d4_n15,d3_n6,1,24,1
23125,4,d4_n15,d3_n6,1,25,1
23125,4,d4_n15,d3_n6,1,26,1
23125,4,d4_n15,d3_n6,1,27,1
23125,4,d4_n15,d3_n6,1,28,1
23125,4,d4_n15,d3_n6,1,29,1
23125,4,d4_n15,d3_n6,1,30,1
23125,4,d4_n15,d3_n6,1,31,1
23125,4,d4_n16,d3_n7,0,0,1
23125,4,d4_n16,d3_n7,0,1,1
23125,4,d4_n16,d3_n7,0,2,1
23125,4,d4_n16,d3_n7,0,3,1
23125,4,d4_n16,d3_n7,0,4,1
23125,4,d4_n16,d3_n7,0,5,1
23125,4,d4_n16,d3_n7,0,6,1
23125,4,d4_n16,d3_n7,0,7,1
23125,4,d4_n16,d3_n7,0,8,1
23125,4,d4_n16,d3_n7,0,9,1
23125,4,d4_n16,d3_n7,0,10,1
23125,4,d4_n16,d3_n7,0,11,1
23125,4,d4_n16,d3_n7,0,12,1
23125,4,d4_n16,d3_n7,0,13,1
23125,4,d4_n16,d3_n7,0,14,1
23125,4,d4_n16,d3_n7,0,15,1
23125,4,d4_n16,d3_n7,0,16,1
23125,4,d4_n16,d3_n7,0,17,1
23125,4,d4_n16,d3_n7,0,18,1
23125,4,d4_n16,d3_n7,0,19,1
23125,4,d4_n16,d3_n7,0,20,1
23125,4,d4_n16,d3_n7,0,21,1
23125,4,d4_n16,d3_n7,0,22,1
23125,4,d4_n16,d3_n7,0,23,1
23125,4,d4_n16,d3_n7,0,24,1
23125,4,d4_n16,d3_n7,0,25,1
23125,4,d4_n16,d3_n7,0,26,1
23125,4,d4_n16,d3_n7,0,27,1
23125,4,d4_n16,d3_n7,0,28,1
23125,4,d4_n16,d3_n7,0,29,1
23125,4,d4_n16,d3_n7,0,30,1
23125,4,d4_n16,d3_n7,0,31,1
23125,4,d4_n17,d3_n7,1,0,1
23125,4,d4_n17,d3_n7,1,1,1
23125,4,d4_n17,d3_n7,1,2,1
23125,4,d4_n17,d3_n7,1,3,1
23125,4,d4_n17,d3_n7,1,4,1
23125,4,d4_n17,d3_n7,1,5,1
23125,4,d4_n17,d3_n7,1,6,1
23125,4,d4_n17,d3_n7,1,7,1
23125,4,d4_n17,d3_n7,1,8,1
23125,4,d4_n17,d3_n7,1,9,1
23125,4,d4_n17,d3_n7,1,10,1
23125,4,d4_n17,d3_n7,1,11,1
23125,4,d4_n17,d3_n7,1,12,1
23125,4,d4_n17,d3_n7,1,13,1
23125,4,d4_n17,d3_n7,1,14,1
23125,4,d4_n17,d3_n7,1,15,1
23125,4,d4_n17,d3_n7,1,16,1
23125,4,d4_n17,d3_n7,1,17,1
23125,4,d4_n17,d3_n7,1,18,1
23125,4,d4_n17,d3_n7,1,19,1
23125,4,d4_n17,d3_n7,1,20,1
23125,4,d4_n17,d3_n7,1,21,1
23125,4,d4_n17,d3_n7,1,22,1
23125,4,d4_n17,d3_n7,1,23,1
23125,4,d4_n17,d3_n7,1,24,1
23125,4,d4_n17,d3_n7,1,25,1
23125,4,d4_n17,d3_n7,1,26,1
23125,4,d4_n17,d3_n7,1,27,1
23125,4,d4_n17,d3_n7,1,28,1
23125,4,d4_n17,d3_n7,1,29,1
23125,4,d4_n17,d3_n7,1,30,1
23125,4,d4_n17,d3_n7,1,31,1
23125,4,d4_n18,d3_n8,0,0,1
23125,4,d4_n18,d3_n8,0,1,1
23125,4,d4_n18,d3_n8,0,2,1
23125,4,d4_n18,d3_n8,0,3,1
23125,4,d4_n18,d3_n8,0,4,1
23125,4,d4_n18,d3_n8,0,5,1
23125,4,d4_n18,d3_n8,0,6,1
23125,4,d4_n18,d3_n8,0,7,1
23125,4,d4_n18,d3_n8,0,8,1
23125,4,d4_n18,d3_n8,0,9,1
23125,4,d4_n18,d3_n8,0,10,1
23125,4,d4_n18,d3_n8,0,11,1
23125,4,d4_n18,d3_n8,0,12,1
23125,4,d4_n18,d3_n8,0,13,1
23125,4,d4_n18,d3_n8,0,14,1
23125,4,d4_n18,d3_n8,0,15,1
23125,4,d4_n18,d3_n8,0,16,1
23125,4,d4_n18,d3_n8,0,17,1
23125,4,d4_n18,d3_n8,0,18,1
23125,4,d4_n18,d3_n8,0,19,1
23125,4,d4_n18,d3_n8,0,20,1
23125,4,d4_n18,d3_n8,0,21,1
23125,4,d4_n18,d3_n8,0,22,1
23125,4,d4_n18,d3_n8,0,23,1
23125,4,d4_n18,d3_n8,0,24,1
23125,4,d4_n18,d3_n8,0,25,1
23125,4,d4_n18,d3_n8,0,26,1
23125,4,d4_n18,d3_n8,0,27,1
23125,4,d4_n18,d3_n8,0,28,1
23125,4,d4_n18,d3_n8,0,29,1
23125,4,d4_n18,d3_n8,0,30,1
23125,4,d4_n18,d3_n8,0,31,1
23125,4,d4_n19,d3_n8,1,0,1
23125,4,d4_n19,d3_n8,1,1,1
23125,4,d4_n19,d3_n8,1,2,1
23125,4,d4_n19,d3_n8,1,3,1
23125,4,d4_n19,d3_n8,1,4,1
23125,4,d4_n19,d3_n8,1,5,1
23125,4,d4_n19,d3_n8,1,6,1
